date,state,fips,cases,deaths,daily_cases,daily_deaths,year_month,year,code
2020-07-10,Washington,53,41090,1426,721,16,2020-07,2020,WA
2020-07-11,Washington,53,41326,1426,236,0,2020-07,2020,WA
2020-07-12,Washington,53,42181,1438,855,12,2020-07,2020,WA
2020-07-13,Washington,53,43538,1439,1357,1,2020-07,2020,WA
2020-07-14,Washington,53,44257,1465,719,26,2020-07,2020,WA
2020-07-15,Washington,53,45004,1486,747,21,2020-07,2020,WA
2020-07-16,Washington,53,46268,1492,1264,6,2020-07,2020,WA
2020-07-17,Washington,53,47226,1498,958,6,2020-07,2020,WA
2020-07-18,Washington,53,47889,1509,663,11,2020-07,2020,WA
2020-07-19,Washington,53,48601,1512,712,3,2020-07,2020,WA
2020-07-20,Washington,53,49949,1521,1348,9,2020-07,2020,WA
2020-07-21,Washington,53,50746,1531,797,10,2020-07,2020,WA
2020-07-22,Washington,53,51442,1534,696,3,2020-07,2020,WA
2020-07-23,Washington,53,52255,1548,813,14,2020-07,2020,WA
2020-07-24,Washington,53,53278,1590,1023,42,2020-07,2020,WA
2020-07-25,Washington,53,53883,1591,605,1,2020-07,2020,WA
2020-07-26,Washington,53,54421,1595,538,4,2020-07,2020,WA
2020-07-27,Washington,53,55547,1610,1126,15,2020-07,2020,WA
2020-07-28,Washington,53,56575,1632,1028,22,2020-07,2020,WA
2020-07-29,Washington,53,57299,1642,724,10,2020-07,2020,WA
2020-07-30,Washington,53,58099,1652,800,10,2020-07,2020,WA
2020-07-31,Washington,53,58725,1653,626,1,2020-07,2020,WA
2020-08-01,Washington,53,59648,1675,923,22,2020-08,2020,WA
2020-08-02,Washington,53,60160,1679,512,4,2020-08,2020,WA
2020-08-03,Washington,53,61011,1684,851,5,2020-08,2020,WA
2020-08-04,Washington,53,61828,1705,817,21,2020-08,2020,WA
2020-08-05,Washington,53,62389,1704,561,1,2020-08,2020,WA
2020-08-06,Washington,53,63056,1715,667,11,2020-08,2020,WA
2020-08-07,Washington,53,63975,1743,919,28,2020-08,2020,WA
2020-08-08,Washington,53,64346,1751,371,8,2020-08,2020,WA
2020-08-09,Washington,53,65248,1773,902,22,2020-08,2020,WA
2020-08-10,Washington,53,66225,1780,977,7,2020-08,2020,WA
2020-08-11,Washington,53,66619,1785,394,5,2020-08,2020,WA
2020-08-12,Washington,53,67170,1788,551,3,2020-08,2020,WA
2020-08-13,Washington,53,68095,1822,925,34,2020-08,2020,WA
2020-08-14,Washington,53,68581,1825,486,3,2020-08,2020,WA
2020-08-15,Washington,53,69136,1842,555,17,2020-08,2020,WA
2020-08-16,Washington,53,69894,1861,758,19,2020-08,2020,WA
2020-08-17,Washington,53,70509,1869,615,8,2020-08,2020,WA
2020-08-18,Washington,53,71032,1895,523,26,2020-08,2020,WA
2020-08-19,Washington,53,71594,1910,562,15,2020-08,2020,WA
2020-08-20,Washington,53,72284,1924,690,14,2020-08,2020,WA
2020-08-21,Washington,53,72787,1937,503,13,2020-08,2020,WA
2020-08-22,Washington,53,73353,1944,566,7,2020-08,2020,WA
2020-08-23,Washington,53,73745,1948,392,4,2020-08,2020,WA
2020-08-24,Washington,53,74292,1953,547,5,2020-08,2020,WA
2020-08-25,Washington,53,74634,1962,342,9,2020-08,2020,WA
2020-08-26,Washington,53,75207,1968,573,6,2020-08,2020,WA
2020-08-27,Washington,53,75752,1977,545,9,2020-08,2020,WA
2020-08-28,Washington,53,76397,1992,645,15,2020-08,2020,WA
2020-08-29,Washington,53,76834,1992,437,0,2020-08,2020,WA
2020-08-30,Washington,53,77122,1992,288,0,2020-08,2020,WA
2020-08-31,Washington,53,77718,2002,596,10,2020-08,2020,WA
2020-09-01,Washington,53,78061,2018,343,16,2020-09,2020,WA
2020-09-02,Washington,53,78554,2025,493,7,2020-09,2020,WA
2020-09-03,Washington,53,79120,2033,566,8,2020-09,2020,WA
2020-09-04,Washington,53,79721,2042,601,9,2020-09,2020,WA
2020-09-05,Washington,53,79900,2042,179,0,2020-09,2020,WA
2020-09-06,Washington,53,80369,2043,469,1,2020-09,2020,WA
2020-09-07,Washington,53,80485,2043,116,0,2020-09,2020,WA
2020-09-08,Washington,53,81048,2045,563,2,2020-09,2020,WA
2020-09-09,Washington,53,81528,2066,480,21,2020-09,2020,WA
2020-09-10,Washington,53,82125,2073,597,7,2020-09,2020,WA
2020-09-11,Washington,53,82590,2079,465,6,2020-09,2020,WA
2020-09-12,Washington,53,82957,2079,367,0,2020-09,2020,WA
2020-09-13,Washington,53,83177,2079,220,0,2020-09,2020,WA
2020-09-14,Washington,53,83861,2095,684,16,2020-09,2020,WA
2020-09-15,Washington,53,84222,2107,361,12,2020-09,2020,WA
2020-09-16,Washington,53,84714,2113,492,6,2020-09,2020,WA
2020-09-17,Washington,53,85101,2123,387,10,2020-09,2020,WA
2020-09-18,Washington,53,85583,2130,482,7,2020-09,2020,WA
2020-09-19,Washington,53,85886,2130,303,0,2020-09,2020,WA
2020-09-20,Washington,53,86169,2130,283,0,2020-09,2020,WA
2020-09-21,Washington,53,86803,2137,634,7,2020-09,2020,WA
2020-09-22,Washington,53,87233,2163,430,26,2020-09,2020,WA
2020-09-23,Washington,53,88042,2175,809,12,2020-09,2020,WA
2020-09-24,Washington,53,88597,2175,555,0,2020-09,2020,WA
2020-09-25,Washington,53,89149,2193,552,18,2020-09,2020,WA
2020-09-26,Washington,53,89514,2196,365,3,2020-09,2020,WA
2020-09-27,Washington,53,89822,2196,308,0,2020-09,2020,WA
2020-09-28,Washington,53,90596,2199,774,3,2020-09,2020,WA
2020-09-29,Washington,53,91011,2218,415,19,2020-09,2020,WA
2020-09-30,Washington,53,91560,2222,549,4,2020-09,2020,WA
2020-10-01,Washington,53,92166,2227,606,5,2020-10,2020,WA
2020-10-02,Washington,53,92727,2239,561,12,2020-10,2020,WA
2020-10-03,Washington,53,93160,2238,433,1,2020-10,2020,WA
2020-10-04,Washington,53,93527,2238,367,0,2020-10,2020,WA
2020-10-05,Washington,53,94202,2253,675,15,2020-10,2020,WA
2020-10-06,Washington,53,94694,2261,492,8,2020-10,2020,WA
2020-10-07,Washington,53,95500,2274,806,13,2020-10,2020,WA
2020-10-08,Washington,53,96227,2280,727,6,2020-10,2020,WA
2020-10-09,Washington,53,96837,2288,610,8,2020-10,2020,WA
2020-10-10,Washington,53,97223,2289,386,1,2020-10,2020,WA
2020-10-11,Washington,53,97527,2289,304,0,2020-10,2020,WA
2020-10-12,Washington,53,98265,2292,738,3,2020-10,2020,WA
2020-10-13,Washington,53,99311,2311,1046,19,2020-10,2020,WA
2020-10-14,Washington,53,100068,2319,757,8,2020-10,2020,WA
2020-10-15,Washington,53,100838,2331,770,12,2020-10,2020,WA
2020-10-16,Washington,53,101533,2338,695,7,2020-10,2020,WA
2020-10-17,Washington,53,102054,2339,521,1,2020-10,2020,WA
2020-10-18,Washington,53,102403,2339,349,0,2020-10,2020,WA
2020-10-19,Washington,53,103323,2357,920,18,2020-10,2020,WA
2020-10-20,Washington,53,103845,2380,522,23,2020-10,2020,WA
2020-10-21,Washington,53,104624,2384,779,4,2020-10,2020,WA
2020-10-22,Washington,53,105364,2389,740,5,2020-10,2020,WA
2020-10-23,Washington,53,106189,2396,825,7,2020-10,2020,WA
2020-10-24,Washington,53,106772,2396,583,0,2020-10,2020,WA
2020-10-25,Washington,53,107270,2396,498,0,2020-10,2020,WA
2020-10-26,Washington,53,108393,2428,1123,32,2020-10,2020,WA
2020-10-27,Washington,53,108966,2438,573,10,2020-10,2020,WA
2020-10-28,Washington,53,109865,2454,899,16,2020-10,2020,WA
2020-10-29,Washington,53,110748,2463,883,9,2020-10,2020,WA
2020-10-30,Washington,53,111893,2468,1145,5,2020-10,2020,WA
2020-10-31,Washington,53,112580,2468,687,0,2020-10,2020,WA
2020-11-01,Washington,53,113109,2468,529,0,2020-11,2020,WA
2020-11-02,Washington,53,114787,2484,1678,16,2020-11,2020,WA
2020-11-03,Washington,53,115608,2507,821,23,2020-11,2020,WA
2020-11-04,Washington,53,117091,2526,1483,19,2020-11,2020,WA
2020-11-05,Washington,53,118459,2542,1368,16,2020-11,2020,WA
2020-11-06,Washington,53,120123,2552,1664,10,2020-11,2020,WA
2020-11-07,Washington,53,121220,2552,1097,0,2020-11,2020,WA
2020-11-08,Washington,53,122310,2552,1090,0,2020-11,2020,WA
2020-11-09,Washington,53,124560,2577,2250,25,2020-11,2020,WA
2020-11-10,Washington,53,126091,2594,1531,17,2020-11,2020,WA
2020-11-11,Washington,53,126886,2595,795,1,2020-11,2020,WA
2020-11-12,Washington,53,129672,2619,2786,24,2020-11,2020,WA
2020-11-13,Washington,53,132183,2634,2511,15,2020-11,2020,WA
2020-11-14,Washington,53,133612,2638,1429,4,2020-11,2020,WA
2020-11-15,Washington,53,135365,2638,1753,0,2020-11,2020,WA
2020-11-16,Washington,53,138602,2661,3237,23,2020-11,2020,WA
2020-11-17,Washington,53,140923,2686,2321,25,2020-11,2020,WA
2020-11-18,Washington,53,142511,2704,1588,18,2020-11,2020,WA
2020-11-19,Washington,53,144968,2717,2457,13,2020-11,2020,WA
2020-11-20,Washington,53,147251,2738,2283,21,2020-11,2020,WA
2020-11-21,Washington,53,148691,2738,1440,0,2020-11,2020,WA
2020-11-22,Washington,53,149703,2738,1012,0,2020-11,2020,WA
2020-11-23,Washington,53,155336,2775,5633,37,2020-11,2020,WA
2020-11-24,Washington,53,158234,2807,2898,32,2020-11,2020,WA
2020-11-25,Washington,53,161207,2825,2973,18,2020-11,2020,WA
2020-11-26,Washington,53,161911,2825,704,0,2020-11,2020,WA
2020-11-27,Washington,53,165230,2828,3319,3,2020-11,2020,WA
2020-11-28,Washington,53,166736,2828,1506,0,2020-11,2020,WA
2020-11-29,Washington,53,168333,2828,1597,0,2020-11,2020,WA
2020-11-30,Washington,53,172175,2895,3842,67,2020-11,2020,WA
2020-12-01,Washington,53,174969,2927,2794,32,2020-12,2020,WA
2020-12-02,Washington,53,177929,2979,2960,52,2020-12,2020,WA
2020-12-03,Washington,53,180125,3040,2196,61,2020-12,2020,WA
2020-12-04,Washington,53,182758,3062,2633,22,2020-12,2020,WA
2020-12-05,Washington,53,184079,3065,1321,3,2020-12,2020,WA
2020-12-06,Washington,53,185505,3065,1426,0,2020-12,2020,WA
2020-12-07,Washington,53,191468,3080,5963,15,2020-12,2020,WA
2020-12-08,Washington,53,194788,3102,3320,22,2020-12,2020,WA
2020-12-09,Washington,53,197973,3146,3185,44,2020-12,2020,WA
2020-12-10,Washington,53,201179,3075,3206,71,2020-12,2020,WA
2020-12-11,Washington,53,204484,3097,3305,22,2020-12,2020,WA
2020-12-12,Washington,53,207399,3043,2915,54,2020-12,2020,WA
2020-12-13,Washington,53,209385,3045,1986,2,2020-12,2020,WA
2020-12-14,Washington,53,212342,3084,2957,39,2020-12,2020,WA
2020-12-15,Washington,53,214085,3123,1743,39,2020-12,2020,WA
2020-12-16,Washington,53,215310,3139,1225,16,2020-12,2020,WA
2020-12-17,Washington,53,220628,3170,5318,31,2020-12,2020,WA
2020-12-18,Washington,53,224594,3168,3966,2,2020-12,2020,WA
2020-12-19,Washington,53,226551,3169,1957,1,2020-12,2020,WA
2020-12-20,Washington,53,227049,3170,498,1,2020-12,2020,WA
2020-12-21,Washington,53,230642,3186,3593,16,2020-12,2020,WA
2020-12-22,Washington,53,232204,3214,1562,28,2020-12,2020,WA
2020-12-23,Washington,53,234832,3245,2628,31,2020-12,2020,WA
2020-12-24,Washington,53,237269,3268,2437,23,2020-12,2020,WA
2020-12-25,Washington,53,237689,3268,420,0,2020-12,2020,WA
2020-12-26,Washington,53,240763,3283,3074,15,2020-12,2020,WA
2020-12-27,Washington,53,241036,3283,273,0,2020-12,2020,WA
2020-12-28,Washington,53,243547,3300,2511,17,2020-12,2020,WA
2020-12-29,Washington,53,245692,3433,2145,133,2020-12,2020,WA
2020-12-30,Washington,53,247455,3486,1763,53,2020-12,2020,WA
2020-12-31,Washington,53,251064,3523,3609,37,2020-12,2020,WA
2021-01-01,Washington,53,251585,3523,521,0,2021-01,2021,WA
2021-01-02,Washington,53,253290,3524,1705,1,2021-01,2021,WA
2021-01-03,Washington,53,258557,3524,5267,0,2021-01,2021,WA
2021-01-04,Washington,53,261328,3558,2771,34,2021-01,2021,WA
2021-01-05,Washington,53,263713,3611,2385,53,2021-01,2021,WA
2021-01-06,Washington,53,265790,3681,2077,70,2021-01,2021,WA
2021-01-07,Washington,53,269033,3719,3243,38,2021-01,2021,WA
2021-01-08,Washington,53,273142,3768,4109,49,2021-01,2021,WA
2021-01-09,Washington,53,275832,3775,2690,7,2021-01,2021,WA
2021-01-10,Washington,53,276333,3776,501,1,2021-01,2021,WA
2021-01-11,Washington,53,281071,3793,4738,17,2021-01,2021,WA
2021-01-12,Washington,53,283363,3869,2292,76,2021-01,2021,WA
2021-01-13,Washington,53,285690,3909,2327,40,2021-01,2021,WA
2021-01-14,Washington,53,288127,3949,2437,40,2021-01,2021,WA
2021-01-15,Washington,53,290288,3972,2161,23,2021-01,2021,WA
2021-01-16,Washington,53,290896,3971,608,1,2021-01,2021,WA
2021-01-17,Washington,53,293296,3971,2400,0,2021-01,2021,WA
2021-01-18,Washington,53,293739,3974,443,3,2021-01,2021,WA
2021-01-19,Washington,53,296519,4020,2780,46,2021-01,2021,WA
2021-01-20,Washington,53,298487,4021,1968,1,2021-01,2021,WA
2021-01-21,Washington,53,300420,4131,1933,110,2021-01,2021,WA
2021-01-22,Washington,53,302546,4178,2126,47,2021-01,2021,WA
2021-01-23,Washington,53,304107,4182,1561,4,2021-01,2021,WA
2021-01-24,Washington,53,304523,4182,416,0,2021-01,2021,WA
2021-01-25,Washington,53,306489,4221,1966,39,2021-01,2021,WA
2021-01-26,Washington,53,307880,4245,1391,24,2021-01,2021,WA
2021-01-27,Washington,53,309604,4294,1724,49,2021-01,2021,WA
2021-01-28,Washington,53,312042,4328,2438,34,2021-01,2021,WA
2021-01-29,Washington,53,314033,4368,1991,40,2021-01,2021,WA
2021-01-30,Washington,53,315448,4368,1415,0,2021-01,2021,WA
2021-01-31,Washington,53,315769,4369,321,1,2021-01,2021,WA
2021-02-01,Washington,53,317703,4404,1934,35,2021-02,2021,WA
2021-02-02,Washington,53,318967,4402,1264,2,2021-02,2021,WA
2021-02-03,Washington,53,320502,4466,1535,64,2021-02,2021,WA
2021-02-04,Washington,53,321940,4492,1438,26,2021-02,2021,WA
2021-02-05,Washington,53,323334,4526,1394,34,2021-02,2021,WA
2021-02-06,Washington,53,323748,4527,414,1,2021-02,2021,WA
2021-02-07,Washington,53,323947,4531,199,4,2021-02,2021,WA
2021-02-08,Washington,53,326625,4540,2678,9,2021-02,2021,WA
2021-02-09,Washington,53,327397,4635,772,95,2021-02,2021,WA
2021-02-10,Washington,53,328246,4675,849,40,2021-02,2021,WA
2021-02-11,Washington,53,329170,4701,924,26,2021-02,2021,WA
2021-02-12,Washington,53,330427,4739,1257,38,2021-02,2021,WA
2021-02-13,Washington,53,331033,4739,606,0,2021-02,2021,WA
2021-02-14,Washington,53,331164,4739,131,0,2021-02,2021,WA
2021-02-15,Washington,53,331305,4739,141,0,2021-02,2021,WA
2021-02-16,Washington,53,333185,4777,1880,38,2021-02,2021,WA
2021-02-17,Washington,53,334284,4824,1099,47,2021-02,2021,WA
2021-02-18,Washington,53,335338,4868,1054,44,2021-02,2021,WA
2021-02-19,Washington,53,336184,4886,846,18,2021-02,2021,WA
2021-02-20,Washington,53,336819,4886,635,0,2021-02,2021,WA
2021-02-21,Washington,53,336945,4886,126,0,2021-02,2021,WA
2021-02-22,Washington,53,338309,4924,1364,38,2021-02,2021,WA
2021-02-23,Washington,53,339051,4947,742,23,2021-02,2021,WA
2021-02-24,Washington,53,339913,4988,862,41,2021-02,2021,WA
2021-02-25,Washington,53,340997,5015,1084,27,2021-02,2021,WA
2021-02-26,Washington,53,341941,5024,944,9,2021-02,2021,WA
2021-02-27,Washington,53,342574,5024,633,0,2021-02,2021,WA
2021-02-28,Washington,53,342644,5024,70,0,2021-02,2021,WA
2021-03-01,Washington,53,343723,5038,1079,14,2021-03,2021,WA
2021-03-02,Washington,53,344516,5056,793,18,2021-03,2021,WA
2021-03-03,Washington,53,345193,5075,677,19,2021-03,2021,WA
2021-03-04,Washington,53,346030,5098,837,23,2021-03,2021,WA
2021-03-05,Washington,53,346733,5104,703,6,2021-03,2021,WA
2021-03-06,Washington,53,347301,5107,568,3,2021-03,2021,WA
